nombre_lugar,tipo_experiencia,rating,direccion,Reviews
Tlayudas el Tasajo,Mexicana,4.5,"Ixcateopan 347, Sta Cruz Atoyac, Benito Juárez, 03310 Ciudad de México, CDMX",1136
Huaraches los portales,Mexicana,4.6,"Av. Víctor Hugo 74, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX",961
Los Pumpos,Mexicana,4.5,"Alhambra 214, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX",760
Hostal de Los Quesos,Mexicana,4.3,"Pilares 205, Col del Valle Centro, Benito Juárez, 03100 Ciudad de México, CDMX",4069
La Guerrerense,Mexicana,4.6,"Sierravista 211, Lindavista Nte., Gustavo A. Madero, 07300 Ciudad de México, CDMX",538
Monte Cristo,Mexicana,4.6,"Av. Insurgentes Nte. Nº 1980, Lindavista, Gustavo A. Madero, 07300 Ciudad de México, CDMX",1623
Tortas El Volcan,Mexicana,4.6,"Av. Insurgentes Nte., Lindavista, Gustavo A. Madero, 07300 Ciudad de México, CDMX",57
Lonchería Don Pepe,Mexicana,4.6,"Montiel 26, Tepeyac Insurgentes, Gustavo A. Madero, 07020 Gustavo A Madero, CDMX",452
Sahmich,Mexicana,4.6,"Montiel #32, Tepeyac Insurgentes, Gustavo A. Madero, 07020 Ciudad de México, CDMX",51
Lepanto,Mexicana,4.6,"Moctezuma 20, Aragón La Villa(Aragón), Gustavo A. Madero, 07000 Ciudad de México, CDMX",440
El Itakate,Mexicana,4.5,"Constancia 124, Industrial, Gustavo A. Madero, 07800 Ciudad de México, CDMX",321
Costa Guadiana,Mexicana,4.6,"P.º de los Tamarindos 90, Bosques de las Lomas, Cuajimalpa de Morelos, 05120 Ciudad de México, CDMX",246
El Yute,Mexicana,4.6,"Calle José María Castorena 343, Cuajimalpa, Cuajimalpa de Morelos, 05000 Ciudad de México, CDMX",78
Las Delicias,Mexicana,4.6,"Calle Angeles 40, Granjas Navidad, Cuajimalpa de Morelos, 05200 Ciudad de México, CDMX",342
TORTAS AHOGADAS EL CHIFLADERO GDL,Mexicana,4.6,"Tulum 312, Territorio Torres, Héroes de Padierna, Tlalpan, 14240 Ciudad de México, CDMX",387
Pozoleria Las Cazuelas,Mexicana,4.5,"Calkiní 360, Héroes de Padierna, Tlalpan, 14200 Ciudad de México, CDMX",388
El Antojito,Mexicana,4.7,"Calle Colima 22, Miguel Hidalgo 2da Secc, Tlalpan, 14250 Ciudad de México, CDMX",60
El Remolkito del Sirloin,Mexicana,4.7,"Anillo Perif. 5460, Olímpica, Coyoacán, 04710 Ciudad de México, CDMX",1927
Azaleas,Mexicana,4.6,"Anillo Perif. Blvd. Adolfo López Mateos 5462, El Caracol, Coyoacán, 04739 Ciudad de México, CDMX",56
Carnes Asadas Mi Rancho,Mexicana,4.5,"15300, 20 de Noviembre 5, Sindicato Mexicano de Electricistas, Venustiano Carranza, 02020 CDMX",124
Birria 3 Estrellas,Mexicana,4.5,"Calle Carlos Santana 10, Moctezuma 1ra Secc, Venustiano Carranza, 15500 Ciudad de México, CDMX",638
Antojitos Mexicanos,Mexicana,4.6,"Calle Anselmo de la Portilla 31, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX",103
Doña Juanita,Mexicana,4.5,"Cuauhtémoc # 7 local A, Santa María Nativitas, 16450 Xochimilco, CDMX",244
Candelilla 16,Mexicana,4.6,"Candelilla 16, Coapa, Rinconada de las Hadas, Tlalpan, 14390 Ciudad de México, CDMX",73
Porfirio's Coapa | Restaurante de comida mexicana,Mexicana,4.5,"Calzada Acoxpa 610 Gran Terraza Coapa, locales 101, 102 y 103, Coapa, Tlalpan, 14390 CDMX",208
EL Callejon De Los Abuelos,Mexicana,4.5,"09900, J. Patricio Morlete Ruiz 13, Juan Patricio morlete Ruiz#13, 09900 Ciudad de México, CDMX",254
Rico Amanecer,Mexicana,4.6,"Av. Tlahuac 5359, Los Olivos, Tláhuac, 13210 Ciudad de México, CDMX",108
Taquería ''Los Taquitos'',Mexicana,4.5,"Ricardo Monges López 410, La Nopalera, Tláhuac, 13220 Ciudad de México, CDMX",755
Don Rafa,Mexicana,4.5,"el 09960 de, Calle Nogal MZ36 LT13, El Molino Tezonco, Iztapalapa, CDMX",138
Antojitos Méxicanos Don Max,Mexicana,4.7,"Calle Huachinango Mz19 Lt9, Col del Mar, Tláhuac, 13270 Ciudad de México, CDMX",94
Molinillo,Mexicana,4.5,"13270, Lisa 70, Col del Mar, Tláhuac, Ciudad de México, CDMX",164
Comedor Comunitario ''FLORES'' N.636,Mexicana,4.5,"2a. Privada Santa Cruz mz 76, Las Arboledas, Tláhuac, 13300 Ciudad de México, CDMX",56
ANTOJITOS MEXICANOS ADELA,Mexicana,4.6,"Calle 28 54, El Rodeo, Iztacalco, 08510 Ciudad de México, CDMX",61
Lulu,Mexicana,4.5,"José N. Macías 12, Constitución de 1917, Iztapalapa, 09260 Ciudad de México, CDMX",522
La tía Juanita,Mexicana,4.5,"09700, Prol Morelos 28, Santa Cruz Meyehualco, Iztapalapa, Ciudad de México, CDMX",58
Sylvestre Artz,Mexicana,4.6,"Periferico Sur #3720, Jardines del Pedregal, Álvaro Obregón, 03810 Ciudad de México, CDMX",251
99,Mexicana,4.6,"Av. Álvaro Obregón 99, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",875
Birria Estilo Jalisco - Food Stand,Mexicana,4.6,"Colima 171, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",79
Museo Nacional de Antropología,Museo,4.8,"Av. Paseo de la Reforma s/n, Polanco, Bosque de Chapultepec I Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, México",53064
Museo del Templo Mayor,Museo,4.8,"Seminario 8, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, México",23736
Museo Nacional De Arte (MUNAL),Museo,4.8,"Calle de Tacuba 8, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",14651
